gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76915.25805894409	3.0714879696778614	0.1550062641130378	19.815250611020396	2.199105431155197e-87	5.0359514373454015e-85
ENSG00000154734	22859.051197979843	3.4415382044518936	0.17921720447070452	19.203168661268005	3.4818857216287844e-82	3.986759151264958e-80
ENSG00000154723	7342.144962850488	2.581829904073809	0.16368254529323478	15.773397825947173	4.74281027437703e-56	3.620345176107799e-54
ENSG00000180509	30222.636708208887	2.9432306967915793	0.199786941798321	14.731847188304648	4.0255034466596e-49	2.304600723212621e-47
ENSG00000183145	9990.47900659578	2.890353071792281	0.24856934522091875	11.627954642691149	2.9713189055766717e-31	1.3608640587541155e-29
ENSG00000276289	11794.911129169837	2.859885313985949	0.46544482187312414	6.144413214173702	8.025965710217673e-10	3.063243579399745e-8
ENSG00000277277	724.500128234022	0.9280731896497568	0.2640956080590551	3.5141560909344167	4.4115350126001246e-4	0.014432021684077551
ENSG00000141959	16335.865496685312	2.5928221917633056	0.82425853262428606	3.145641918329	0.001657227701804034	0.04743814296414047
ENSG00000185437	2256.6293232795015	0.515300644407523	0.19074804742766163	2.7014727089300514	0.00690331455332591	0.17565100363462594
ENSG00000160188	1876.2012849721182	-0.537873088129605	0.2190856219998003	-2.45508163986268	0.014085259596340452	0.3109500780565215
ENSG00000154719	1373.4307243857736	-0.5891253434822972	0.24204836035613567	-2.433915861340655	0.014936466631535968	0.3109500780565215
ENSG00000157557	3474.2318871076914	-0.4912072600096693	0.21005606296568197	-2.338457900593522	0.019363507144568127	0.35855270614404794
ENSG00000160207	885.3079152581403	0.6326587254120924	0.2742826209800072	2.3065942827570094	0.021077448572746887	0.35855270614404794
ENSG00000177692	2181.347901055166	0.4592825892170828	0.2004072049178403	2.29174689305892	0.021920252777365375	0.35855270614404794
ENSG00000186930	103.43893661695908	-1.1271080622659362	0.5650244959041233	-1.9947950406334074	0.04606523849353098	0.6611243646396484
ENSG00000205929	1354.6005429846418	0.4727315792259794	0.2371205752455979	1.993633739865666	0.04619209534600163	0.6611243646396484
ENSG00000184012	5523.615063171286	-0.3978602298741874	0.20845935959764544	-1.9085745568925812	0.05631699672361747	0.7586230735122589
ENSG00000183036	968.7223906885118	-0.5302327790933461	0.2815309991689691	-1.8833903927400595	0.05964748136903957	0.7588485129727812
ENSG00000166265	1222.4365266596733	0.5305874882612053	0.30124663383621725	1.761305948897928	0.07818663372358801	0.8722438632871582
ENSG00000187175	207.67993680059047	0.7781180755787153	0.442395956069041	1.7588724872007668	0.07859916920869658	0.8722438632871582
ENSG00000159128	2810.002661186093	0.3460140029308443	0.1976365674889169	1.750759018572047	0.07998742851104944	0.8722438632871582
ENSG00000244624	102.05638745823565	0.9859773100480282	0.5755859374433714	1.7129975663191614	0.08671298732077128	0.8895434843126685
ENSG00000274391	3083.201795760063	0.2879198848124432	0.17286881886952313	1.665539723677742	0.0958051253182622	0.8895434843126685
ENSG00000154721	3847.5928865947453	-0.3247710396804335	0.1964488951624192	-1.6532087870075354	0.09828837877485323	0.8895434843126685
ENSG00000197683	369.3125133798746	-0.6845886682648504	0.42199765589627225	-1.6222570402929526	0.10474832294638395	0.8895434843126685
ENSG00000184221	1250.408587548442	-0.46104230756891557	0.2849365648594419	-1.6180524524690116	0.1056512941744415	0.8895434843126685
ENSG00000154727	3764.7273596539417	0.27371169660191863	0.1699680376167481	1.6103715759729873	0.10731676198065872	0.8895434843126685
ENSG00000142173	5506.649407765214	-0.31364621036721463	0.19556828576654037	-1.6037682650735599	0.10876514218670182	0.8895434843126685
ENSG00000212938	216.10483788798155	-0.7138550334470378	0.450558134876209	-1.5843794134205784	0.11310740382320399	0.8931584646728866
ENSG00000156239	3663.990492395882	-0.36572209050178744	0.23847574238495764	-1.5335819351866127	0.12513253530319424	0.9551783528143827
ENSG00000160182	178.72835476803726	-0.6958781444161305	0.47519664147040014	-1.4644003843606217	0.14308458316868472	0.9591381118579169
ENSG00000186925	146.3754720381235	0.677269925003241	0.4725777662763601	1.4331396297793206	0.15181793803062676	0.9591381118579169
ENSG00000154654	5151.500426125189	0.32614513163133463	0.22889316199469295	1.424879313952142	0.15419209021123773	0.9591381118579169
ENSG00000166351	1223.6606052515967	0.3471248708342604	0.24968867555316782	1.390230734594709	0.16445882335405365	0.9591381118579169
ENSG00000159200	9649.600405021936	-0.23519394461499818	0.17593276188611248	-1.3368399500671033	0.18127488563962027	0.9591381118579169
ENSG00000182591	328.54161623842515	-0.5011710779471698	0.37724434842196164	-1.3285051984041694	0.18401126739289606	0.9591381118579169
ENSG00000159263	4523.7321903244065	-0.25407598406197435	0.19165243503769075	-1.3257122666456456	0.18493502271476417	0.9591381118579169
ENSG00000154640	1589.0167722105339	-0.24507482358132826	0.18794449849360048	-1.3039744474865438	0.1922422948224119	0.9591381118579169
ENSG00000160181	720.2936967486506	0.33823231632767076	0.26274644912661843	1.2872954799274012	0.19799131842542927	0.9591381118579169
ENSG00000232263	142.4417972097717	-0.671901519107731	0.5255133818388402	-1.2785621495625088	0.20105128597243757	0.9591381118579169
ENSG00000206104	85.52405752724324	0.789491577298371	0.6247028960639324	1.2637872855604213	0.20630638593494754	0.9591381118579169
ENSG00000183527	1893.4205902562744	0.2403416422479297	0.1910436952374779	1.2580454013369649	0.2083753372411149	0.9591381118579169
ENSG00000157617	9316.012429407945	-0.2484471416244134	0.19782344861495613	-1.2559033995408264	0.20915099588080577	0.9591381118579169
